Food,Grams,Calories,Category
"Apples, raw",130,70,Vegetables R-Z
Stewed or canned,240,100,Vegetables R-Z
Fresh,114,55,Fruits A-F
"Nectar, or juice",250,140,Fruits A-F
Avocado,108,185,Fruits A-F
Banana,150,85,Fruits A-F
Blackberries,144,85,Fruits A-F
Blueberries,250,245,Fruits A-F
Cantaloupe,380,40,Fruits A-F
Cherries,257,100,Fruits A-F
"Fresh, raw",114,65,Fruits A-F
Cranberry sauce sweetened,277,530,Fruits A-F
Dates,178,505,Fruits A-F
Figs,42,120,Fruits A-F
"Fresh, raw figs",114,90,Fruits A-F
figs Canned with syrup ,115,130,Fruits A-F
"Fruit cocktail, canned",256,195,Fruits A-F
Grapefruit sections,250,170,Fruits A-F
"Grapefruit, fresh, 5"" diameter",285,50,Fruits A-F
Grapefruit juice,250,100,Fruits A-F
Grapes,153,70,Fruits A-F
"European, as Muscat, Tokay",160,100,Fruits A-F
Grape juice,250,160,Fruits G-P
Lemon juice,125,30,Fruits G-P
Lemonade concentratefrozen,220,430,Fruits G-P
Limeade concentrate frozen,218,405,Fruits G-P
Olives large,65,72,Fruits G-P
OlivesRipe,65,105,Fruits G-P
"Oranges 3"" diameter",180,60,Fruits G-P
Orange juice,250,112,Fruits G-P
Frozen ,210,330,Fruits G-P
Papaya,200,75,Fruits G-P
Peaches,257,200,Fruits G-P
"Fresh, raw",114,35,Fruits G-P
Pears,255,195,Fruits G-P
"Raw, 3 by 2V",182,100,Fruits G-P
Persimmons,125,75,Fruits G-P
Pineapple,122,95,Fruits G-P
Pineapple Crushed,260,205,Fruits G-P
"Raw, diced",140,75,Fruits G-P
Pineapple juice,250,120,Fruits G-P
Plums,256,185,Fruits G-P
"Raw, 2"" diameter",60,30,Fruits G-P
Prunes,270,300,Fruits G-P
Prune juice,240,170,Fruits G-P
Raisins,88,230,Fruits G-P
Raspberries,100,100,Fruits G-P
"Raw, red",100,57,Fruits G-P
Rhubarb sweetened,270,385,Fruits G-P
Strawberries,227,242,Fruits G-P
Raw,149,54,Fruits R-Z
Tangerines,114,40,Fruits R-Z
Watermelon,925,120,Fruits R-Z
Biscuits,38,130,Fruits R-Z
Bran flakes,25,117,Fruits R-Z
"Bread, cracked wheat",23,60,Fruits R-Z
Rye,23,55,Fruits R-Z
"White, 20 slices, or",454,"1,225",Fruits R-Z
Whole-wheat,454,"1,100","Breads, cereals, fastfood,grains"
Whole-wheat,23,55,"Breads, cereals, fastfood,grains"
Corn bread ground meal,50,100,"Breads, cereals, fastfood,grains"
Cornflakes,25,110,"Breads, cereals, fastfood,grains"
Corn grits cooked,242,120,"Breads, cereals, fastfood,grains"
Corn meal,118,360,"Breads, cereals, fastfood,grains"
Crackers,14,55,"Breads, cereals, fastfood,grains"
Farina,238,105,"Breads, cereals, fastfood,grains"
Flour,110,460,"Breads, cereals, fastfood,grains"
Wheat (all purpose),110,400,"Breads, cereals, fastfood,grains"
Wheat (whole),120,390,"Breads, cereals, fastfood,grains"
Macaroni,140,155,"Breads, cereals, fastfood,grains"
Baked with cheese,220,475,"Breads, cereals, fastfood,grains"
Muffins,48,135,"Breads, cereals, fastfood,grains"
Noodles,160,200,"Breads, cereals, fastfood,grains"
Oatmeal,236,150,"Breads, cereals, fastfood,grains"
"Pancakes 4"" diam.",108,250,"Breads, cereals, fastfood,grains"
"Wheat, pancakes 4"" diam.",108,250,"Breads, cereals, fastfood,grains"
"Pizza 14"" diam.",75,180,"Breads, cereals, fastfood,grains"
Popcorn salted,28,152,"Breads, cereals, fastfood,grains"
